#EDL	Date	20.11.2014	Local Time	16:24:19	H-100 T-2.06	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
06:27:28.617	0.00055353	0.00078880
06:27:28.625	0.00081770	0.00066555
06:27:28.633	0.00081770	0.00057311
06:27:28.641	0.00061958	0.00057311
06:27:28.648	0.00061958	0.00094287
06:27:28.656	0.00081770	0.00066555
06:27:28.664	0.00045447	0.00066555
06:27:28.672	0.00081770	0.00060392
06:27:28.680	0.00035541	0.00066555
06:27:28.688	0.00038843	0.00057311
06:27:28.695	0.00071864	0.00066555
06:27:28.703	0.00065260	0.00063473
06:27:28.711	0.00058656	0.00060392
06:27:28.719	0.00048749	0.00069636
06:27:28.727	0.00055353	0.00063473
06:27:28.734	0.00055353	0.00066555
06:27:28.742	0.00068562	0.00060392
06:27:28.750	0.00042145	0.00060392
06:27:28.758	0.00061958	0.00072717
06:27:28.766	0.00058656	0.00054229
06:27:28.773	0.00061958	0.00060392
06:27:28.781	0.00068562	0.00054229
06:27:28.789	0.00042145	0.00063473
06:27:28.797	0.00061958	0.00072717
06:27:28.805	0.00038843	0.00057311
06:27:28.813	0.00075166	0.00054229
06:27:28.820	0.00058656	0.00051148
06:27:28.828	0.00028937	0.00072717
06:27:28.836	0.00038843	0.00057311
06:27:28.844	0.00068562	0.00051148
06:27:28.852	0.00065260	0.00048066
06:27:28.859	0.00058656	0.00081962
06:27:28.867	0.00058656	0.00057311
06:27:28.875	0.00052051	0.00063473
06:27:28.883	0.00048749	0.00063473
06:27:28.891	0.00038843	0.00054229
06:27:28.898	0.00068562	0.00066555
06:27:28.906	0.00045447	0.00069636
06:27:28.914	0.00058656	0.00060392
06:27:28.922	0.00045447	0.00048066
06:27:28.930	0.00028937	0.00066555
06:27:28.938	0.00058656	0.00060392
06:27:28.945	0.00042145	0.00075799
06:27:28.953	0.00058656	0.00048066
06:27:28.961	0.00048749	0.00066555
06:27:28.969	0.00052051	0.00081962
06:27:28.977	0.00045447	0.00048066
06:27:28.984	0.00058656	0.00063473
06:27:28.992	0.00042145	0.00051148
06:27:29.000	0.00042145	0.00072717
06:27:29.008	0.00052051	0.00063473
06:27:29.016	0.00038843	0.00063473
06:27:29.023	0.00055353	0.00060392
06:27:29.031	0.00058656	0.00078880
06:27:29.039	0.00055353	0.00085043
06:27:29.047	0.00055353	0.00072717
06:27:29.055	0.00052051	0.00051148
06:27:29.063	0.00048749	0.00075799
06:27:29.070	0.00038843	0.00075799
06:27:29.078	0.00061958	0.00063473
06:27:29.086	0.00038843	0.00060392
06:27:29.094	0.00075166	0.00051148
06:27:29.102	0.00065260	0.00075799
06:27:29.109	0.00045447	0.00075799
06:27:29.117	0.00058656	0.00081962
06:27:29.125	0.00081770	0.00060392
06:27:29.133	0.00075166	0.00069636
06:27:29.141	0.00052051	0.00069636
06:27:29.148	0.00078468	0.00066555
06:27:29.156	0.00075166	0.00075799
06:27:29.164	0.00071864	0.00057311
06:27:29.172	0.00078468	0.00051148
06:27:29.180	0.00058656	0.00075799
06:27:29.188	0.00078468	0.00060392
06:27:29.195	0.00071864	0.00057311
06:27:29.203	0.00055353	0.00085043
06:27:29.211	0.00065260	0.00081962
06:27:29.219	0.00071864	0.00066555
06:27:29.227	0.00058656	0.00063473
06:27:29.234	0.00094978	0.00048066
06:27:29.242	0.00088374	0.00048066
06:27:29.250	0.00075166	0.00066555
06:27:29.258	0.00078468	0.00060392
06:27:29.266	0.00088374	0.00051148
06:27:29.273	0.00075166	0.00044985
06:27:29.281	0.00052051	0.00072717
06:27:29.289	0.00068562	0.00060392
06:27:29.297	0.00061958	0.00060392
06:27:29.305	0.00065260	0.00044985
06:27:29.313	0.00065260	0.00063473
06:27:29.320	0.00058656	0.00075799
06:27:29.328	0.00048749	0.00066555
06:27:29.336	0.00058656	0.00057311
06:27:29.344	0.00042145	0.00041904
06:27:29.352	0.00048749	0.00057311
06:27:29.359	0.00058656	0.00060392
06:27:29.367	0.00048749	0.00066555
06:27:29.375	0.00058656	0.00048066
06:27:29.383	0.00061958	0.00060392
06:27:29.391	0.00032239	0.00078880
06:27:29.398	0.00052051	0.00072717
06:27:29.406	0.00048749	0.00075799
06:27:29.414	0.00042145	0.00060392
06:27:29.422	0.00042145	0.00069636
06:27:29.430	0.00048749	0.00057311
06:27:29.438	0.00042145	0.00066555
06:27:29.445	0.00052051	0.00048066
06:27:29.453	0.00045447	0.00044985
06:27:29.461	0.00042145	0.00085043
06:27:29.469	0.00035541	0.00072717
06:27:29.477	0.00038843	0.00078880
06:27:29.484	0.00032239	0.00066555
06:27:29.492	0.00052051	0.00057311
06:27:29.500	0.00061958	0.00088124
06:27:29.508	0.00035541	0.00081962
06:27:29.516	0.00068562	0.00066555
06:27:29.523	0.00052051	0.00057311
06:27:29.531	0.00032239	0.00081962
06:27:29.539	0.00058656	0.00078880
06:27:29.547	0.00055353	0.00063473
06:27:29.555	0.00058656	0.00054229
06:27:29.563	0.00061958	0.00075799
06:27:29.570	0.00052051	0.00075799
06:27:29.578	0.00061958	0.00081962
06:27:29.586	0.00052051	0.00057311
06:27:29.594	0.00071864	0.00054229
06:27:29.602	0.00052051	0.00075799
06:27:29.609	0.00052051	0.00078880
06:27:29.617	0.00065260	0.00060392
06:27:29.625	0.00065260	0.00048066
06:27:29.633	0.00071864	0.00060392
06:27:29.641	0.00052051	0.00060392
06:27:29.648	0.00058656	0.00051148
06:27:29.656	0.00058656	0.00054229
06:27:29.664	0.00075166	0.00072717
06:27:29.672	0.00061958	0.00091206
06:27:29.680	0.00071864	0.00078880
06:27:29.688	0.00058656	0.00069636
06:27:29.695	0.00075166	0.00060392
06:27:29.703	0.00055353	0.00054229
06:27:29.711	0.00052051	0.00069636
06:27:29.719	0.00068562	0.00069636
06:27:29.727	0.00071864	0.00054229
06:27:29.734	0.00078468	0.00054229
06:27:29.742	0.00058656	0.00075799
06:27:29.750	0.00068562	0.00069636
06:27:29.758	0.00081770	0.00048066
06:27:29.766	0.00075166	0.00032660
06:27:29.773	0.00075166	0.00048066
06:27:29.781	0.00052051	0.00057311
06:27:29.789	0.00068562	0.00057311
06:27:29.797	0.00071864	0.00048066
06:27:29.805	0.00068562	0.00048066
06:27:29.813	0.00055353	0.00066555
06:27:29.820	0.00068562	0.00051148
06:27:29.828	0.00078468	0.00051148
06:27:29.836	0.00091676	0.00035741
06:27:29.844	0.00078468	0.00057311
06:27:29.852	0.00071864	0.00072717
06:27:29.859	0.00094978	0.00057311
06:27:29.867	0.00081770	0.00041904
06:27:29.875	0.00088374	0.00035741
06:27:29.883	0.00078468	0.00054229
06:27:29.891	0.00088374	0.00051148
06:27:29.898	0.00078468	0.00035741
06:27:29.906	0.00071864	0.00032660
06:27:29.914	0.00068562	0.00029578
06:27:29.922	0.00055353	0.00069636
06:27:29.930	0.00088374	0.00041904
06:27:29.938	0.00081770	0.00057311
06:27:29.945	0.00081770	0.00044985
06:27:29.953	0.00071864	0.00041904
06:27:29.961	0.00071864	0.00066555
06:27:29.969	0.00078468	0.00072717
06:27:29.977	0.00068562	0.00035741
06:27:29.984	0.00071864	0.00029578
06:27:29.992	0.00052051	0.00038822
06:27:30.000	0.00042145	0.00057311
06:27:30.008	0.00078468	0.00054229
06:27:30.016	0.00058656	0.00051148
06:27:30.023	0.00055353	0.00051148
06:27:30.031	0.00055353	0.00072717
06:27:30.039	0.00042145	0.00069636
06:27:30.047	0.00048749	0.00041904
06:27:30.055	0.00061958	0.00048066
06:27:30.063	0.00055353	0.00066555
06:27:30.070	0.00045447	0.00060392
06:27:30.078	0.00038843	0.00057311
06:27:30.086	0.00048749	0.00078880
06:27:30.094	0.00048749	0.00057311
06:27:30.102	0.00032239	0.00075799
06:27:30.109	0.00042145	0.00057311
06:27:30.117	0.00058656	0.00063473
06:27:30.125	0.00042145	0.00069636
06:27:30.133	0.00028937	0.00094287
06:27:30.141	0.00028937	0.00078880
06:27:30.148	0.00048749	0.00094287
06:27:30.156	0.00038843	0.00066555
06:27:30.164	0.00035541	0.00069636
06:27:30.172	0.00045447	0.00100450
06:27:30.180	0.00055353	0.00088124
06:27:30.188	0.00058656	0.00081962
06:27:30.195	0.00052051	0.00085043
06:27:30.203	0.00025635	0.00100450
06:27:30.211	0.00055353	0.00094287
06:27:30.219	0.00032239	0.00106613
06:27:30.227	0.00035541	0.00094287
06:27:30.234	0.00058656	0.00091206
06:27:30.242	0.00028937	0.00103532
06:27:30.250	0.00065260	0.00118939
06:27:30.258	0.00045447	0.00109694
06:27:30.266	0.00065260	0.00100450
06:27:30.273	0.00032239	0.00109694
06:27:30.281	0.00048749	0.00112776
06:27:30.289	0.00061958	0.00103532
06:27:30.297	0.00061958	0.00100450
06:27:30.305	0.00045447	0.00109694
06:27:30.313	0.00048749	0.00125102
06:27:30.320	0.00048749	0.00146672
06:27:30.328	0.00055353	0.00122020
06:27:30.336	0.00052051	0.00115857
06:27:30.344	0.00055353	0.00118939
06:27:30.352	0.00065260	0.00143591
06:27:30.359	0.00065260	0.00128183
06:27:30.367	0.00081770	0.00122020
06:27:30.375	0.00075166	0.00118939
06:27:30.383	0.00055353	0.00118939
06:27:30.391	0.00065260	0.00137428
06:27:30.398	0.00078468	0.00122020
06:27:30.406	0.00065260	0.00118939
06:27:30.414	0.00048749	0.00143591
06:27:30.422	0.00068562	0.00118939
06:27:30.430	0.00055353	0.00118939
06:27:30.438	0.00068562	0.00109694
06:27:30.445	0.00071864	0.00112776
06:27:30.453	0.00071864	0.00122020
06:27:30.461	0.00081770	0.00112776
06:27:30.469	0.00078468	0.00115857
06:27:30.477	0.00091676	0.00109694
06:27:30.484	0.00061958	0.00149754
06:27:30.492	0.00078468	0.00128183
06:27:30.500	0.00094978	0.00122020
06:27:30.508	0.00101582	0.00118939
06:27:30.516	0.00085072	0.00100450
06:27:30.523	0.00071864	0.00122020
06:27:30.531	0.00098280	0.00106613
06:27:30.539	0.00081770	0.00103532
06:27:30.547	0.00101582	0.00100450
06:27:30.555	0.00094978	0.00115857
06:27:30.563	0.00101582	0.00109694
06:27:30.570	0.00104885	0.00112776
06:27:30.578	0.00108187	0.00097369
06:27:30.586	0.00091676	0.00088124
06:27:30.594	0.00081770	0.00118939
06:27:30.602	0.00094978	0.00091206
06:27:30.609	0.00091676	0.00103532
06:27:30.617	0.00091676	0.00081962
06:27:30.625	0.00085072	0.00081962
06:27:30.633	0.00094978	0.00097369
06:27:30.641	0.00104885	0.00078880
06:27:30.648	0.00104885	0.00075799
06:27:30.656	0.00108187	0.00072717
06:27:30.664	0.00085072	0.00094287
06:27:30.672	0.00091676	0.00075799
06:27:30.680	0.00091676	0.00085043
06:27:30.688	0.00091676	0.00088124
06:27:30.695	0.00075166	0.00088124
06:27:30.703	0.00094978	0.00118939
06:27:30.711	0.00091676	0.00106613
06:27:30.719	0.00104885	0.00081962
06:27:30.727	0.00101582	0.00094287
06:27:30.734	0.00078468	0.00100450
06:27:30.742	0.00085072	0.00100450
06:27:30.750	0.00088374	0.00103532
06:27:30.758	0.00081770	0.00085043
06:27:30.766	0.00094978	0.00094287
06:27:30.773	0.00068562	0.00115857
06:27:30.781	0.00088374	0.00103532
06:27:30.789	0.00081770	0.00088124
06:27:30.797	0.00068562	0.00081962
06:27:30.805	0.00055353	0.00118939
06:27:30.813	0.00052051	0.00106613
06:27:30.820	0.00078468	0.00118939
06:27:30.828	0.00085072	0.00091206
06:27:30.836	0.00061958	0.00106613
06:27:30.844	0.00052051	0.00109694
06:27:30.852	0.00068562	0.00112776
06:27:30.859	0.00078468	0.00100450
06:27:30.867	0.00075166	0.00125102
06:27:30.875	0.00052051	0.00122020
06:27:30.883	0.00055353	0.00118939
06:27:30.891	0.00052051	0.00122020
06:27:30.898	0.00048749	0.00122020
06:27:30.906	0.00048749	0.00137428
06:27:30.914	0.00048749	0.00131265
06:27:30.922	0.00045447	0.00131265
06:27:30.930	0.00048749	0.00137428
06:27:30.938	0.00052051	0.00122020
06:27:30.945	0.00038843	0.00128183
06:27:30.953	0.00061958	0.00122020
06:27:30.961	0.00068562	0.00137428
06:27:30.969	0.00058656	0.00131265
06:27:30.977	0.00075166	0.00112776
06:27:30.984	0.00055353	0.00137428
06:27:30.992	0.00048749	0.00134346
06:27:31.000	0.00048749	0.00137428
06:27:31.008	0.00052051	0.00146672
06:27:31.016	0.00028937	0.00140509
06:27:31.023	0.00032239	0.00143591
06:27:31.031	0.00058656	0.00152835
06:27:31.039	0.00061958	0.00134346
06:27:31.047	0.00032239	0.00140509
06:27:31.055	0.00028937	0.00152835
06:27:31.063	0.00038843	0.00162080
06:27:31.070	0.00038843	0.00149754
06:27:31.078	0.00025635	0.00140509
06:27:31.086	0.00019031	0.00158998
06:27:31.094	0.00045447	0.00162080
06:27:31.102	0.00032239	0.00149754
06:27:31.109	0.00042145	0.00152835
06:27:31.117	0.00048749	0.00143591
06:27:31.125	0.00042145	0.00174406
06:27:31.133	0.00045447	0.00165161
06:27:31.141	0.00042145	0.00177487
06:27:31.148	0.00048749	0.00165161
06:27:31.156	0.00028937	0.00177487
06:27:31.164	0.00032239	0.00183650
06:27:31.172	0.00035541	0.00168243
06:27:31.180	0.00042145	0.00183650
06:27:31.188	0.00038843	0.00177487
06:27:31.195	0.00035541	0.00186732
06:27:31.203	0.00058656	0.00186732
06:27:31.211	0.00035541	0.00205221
06:27:31.219	0.00042145	0.00177487
06:27:31.227	0.00045447	0.00189813
06:27:31.234	0.00058656	0.00202140
06:27:31.242	0.00061958	0.00189813
06:27:31.250	0.00065260	0.00174406
06:27:31.258	0.00065260	0.00186732
06:27:31.266	0.00042145	0.00195976
06:27:31.273	0.00045447	0.00202140
06:27:31.281	0.00061958	0.00192895
06:27:31.289	0.00058656	0.00205221
06:27:31.297	0.00065260	0.00211384
06:27:31.305	0.00068562	0.00220629
06:27:31.313	0.00071864	0.00189813
06:27:31.320	0.00068562	0.00195976
06:27:31.328	0.00061958	0.00199058
06:27:31.336	0.00055353	0.00211384
06:27:31.344	0.00061958	0.00208303
06:27:31.352	0.00091676	0.00205221
06:27:31.359	0.00065260	0.00199058
06:27:31.367	0.00068562	0.00208303
06:27:31.375	0.00065260	0.00226792
06:27:31.383	0.00068562	0.00205221
06:27:31.391	0.00094978	0.00211384
06:27:31.398	0.00081770	0.00202140
06:27:31.406	0.00078468	0.00226792
06:27:31.414	0.00081770	0.00214466
06:27:31.422	0.00068562	0.00208303
06:27:31.430	0.00085072	0.00205221
06:27:31.438	0.00085072	0.00205221
06:27:31.445	0.00091676	0.00217547
06:27:31.453	0.00104885	0.00205221
