#EDL	Date	21.11.2014	Local Time	 9:58:56	H-200 T-3.00	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
02:28:19.078	0.00005824	0.00122020
02:28:19.086	0.00009125	0.00097369
02:28:19.094	0.00005824	0.00075799
02:28:19.102	-0.00000780	0.00054229
02:28:19.109	-0.00007384	0.00023416
02:28:19.117	-0.00000780	0.00017253
02:28:19.125	-0.00010686	0.00017253
02:28:19.133	-0.00010686	-0.00038210
02:28:19.141	-0.00010686	-0.00032048
02:28:19.148	-0.00010686	-0.00069022
02:28:19.156	-0.00040403	-0.00078266
02:28:19.164	-0.00040403	-0.00096753
02:28:19.172	-0.00053611	-0.00112159
02:28:19.180	-0.00040403	-0.00136808
02:28:19.188	-0.00066818	-0.00170700
02:28:19.195	-0.00099837	-0.00158375
02:28:19.203	-0.00080026	-0.00179943
02:28:19.211	-0.00070120	-0.00195348
02:28:19.219	-0.00083328	-0.00226158
02:28:19.227	-0.00109742	-0.00235401
02:28:19.234	-0.00109742	-0.00235401
02:28:19.242	-0.00096535	-0.00263130
02:28:19.250	-0.00136156	-0.00244644
02:28:19.258	-0.00113044	-0.00287777
02:28:19.266	-0.00129553	-0.00281615
02:28:19.273	-0.00149363	-0.00300101
02:28:19.281	-0.00149363	-0.00272373
02:28:19.289	-0.00122949	-0.00303182
02:28:19.297	-0.00129553	-0.00321667
02:28:19.305	-0.00142760	-0.00315505
02:28:19.313	-0.00139458	-0.00315505
02:28:19.320	-0.00146061	-0.00324748
02:28:19.328	-0.00152665	-0.00346314
02:28:19.336	-0.00146061	-0.00346314
02:28:19.344	-0.00162570	-0.00340152
02:28:19.352	-0.00165872	-0.00327829
02:28:19.359	-0.00139458	-0.00364799
02:28:19.367	-0.00146061	-0.00333990
02:28:19.375	-0.00179078	-0.00327829
02:28:19.383	-0.00165872	-0.00333990
02:28:19.391	-0.00172475	-0.00333990
02:28:19.398	-0.00142760	-0.00318586
02:28:19.406	-0.00152665	-0.00324748
02:28:19.414	-0.00175777	-0.00318586
02:28:19.422	-0.00139458	-0.00300101
02:28:19.430	-0.00136156	-0.00327829
02:28:19.438	-0.00129553	-0.00330910
02:28:19.445	-0.00149363	-0.00300101
02:28:19.453	-0.00149363	-0.00297020
02:28:19.461	-0.00136156	-0.00293939
02:28:19.469	-0.00139458	-0.00300101
02:28:19.477	-0.00146061	-0.00290858
02:28:19.484	-0.00146061	-0.00250806
02:28:19.492	-0.00109742	-0.00284696
02:28:19.500	-0.00113044	-0.00275454
02:28:19.508	-0.00106440	-0.00284696
02:28:19.516	-0.00132854	-0.00250806
02:28:19.523	-0.00113044	-0.00253887
02:28:19.531	-0.00083328	-0.00229239
02:28:19.539	-0.00076724	-0.00238482
02:28:19.547	-0.00066818	-0.00241563
02:28:19.555	-0.00083328	-0.00213834
02:28:19.563	-0.00056913	-0.00210753
02:28:19.570	-0.00056913	-0.00204591
02:28:19.578	-0.00050309	-0.00189186
02:28:19.586	-0.00063517	-0.00192267
02:28:19.594	-0.00040403	-0.00176862
02:28:19.602	-0.00037102	-0.00179943
02:28:19.609	-0.00020592	-0.00167619
02:28:19.617	0.00002522	-0.00161456
02:28:19.625	-0.00007384	-0.00152213
02:28:19.633	-0.00000780	-0.00142970
02:28:19.641	0.00002522	-0.00115240
02:28:19.648	0.00025635	-0.00121402
02:28:19.656	0.00019031	-0.00118321
02:28:19.664	0.00032239	-0.00081347
02:28:19.672	0.00032239	-0.00109078
02:28:19.680	0.00048749	-0.00115240
02:28:19.688	0.00045447	-0.00109078
02:28:19.695	0.00045447	-0.00081347
02:28:19.703	0.00058656	-0.00084428
02:28:19.711	0.00061958	-0.00084428
02:28:19.719	0.00078468	-0.00096753
02:28:19.727	0.00055353	-0.00072103
02:28:19.734	0.00048749	-0.00047454
02:28:19.742	0.00071864	-0.00062860
02:28:19.750	0.00071864	-0.00062860
02:28:19.758	0.00058656	-0.00059779
02:28:19.766	0.00042145	-0.00050535
02:28:19.773	0.00045447	-0.00041291
02:28:19.781	0.00042145	-0.00044373
02:28:19.789	0.00052051	-0.00062860
02:28:19.797	0.00032239	-0.00038210
02:28:19.805	0.00028937	-0.00035129
02:28:19.813	0.00032239	-0.00038210
02:28:19.820	0.00028937	-0.00032048
02:28:19.828	0.00019031	-0.00032048
02:28:19.836	-0.00000780	-0.00028966
02:28:19.844	-0.00020592	-0.00025885
02:28:19.852	-0.00017290	-0.00028966
02:28:19.859	-0.00037102	-0.00032048
02:28:19.867	-0.00027196	-0.00004316
02:28:19.875	-0.00050309	-0.00004316
02:28:19.883	-0.00050309	-0.00032048
02:28:19.891	-0.00043705	-0.00001235
02:28:19.898	-0.00070120	-0.00010479
02:28:19.906	-0.00096535	0.00004928
02:28:19.914	-0.00080026	-0.00007397
02:28:19.922	-0.00089931	0.00004928
02:28:19.930	-0.00073422	0.00004928
02:28:19.938	-0.00086629	-0.00004316
02:28:19.945	-0.00109742	0.00035741
02:28:19.953	-0.00106440	0.00017253
02:28:19.961	-0.00122949	0.00032660
02:28:19.969	-0.00099837	0.00020334
02:28:19.977	-0.00142760	0.00032660
02:28:19.984	-0.00109742	0.00020334
02:28:19.992	-0.00109742	0.00044985
02:28:20.000	-0.00126251	0.00038822
02:28:20.008	-0.00109742	0.00057311
02:28:20.016	-0.00129553	0.00069636
02:28:20.023	-0.00132854	0.00048066
02:28:20.031	-0.00113044	0.00054229
02:28:20.039	-0.00113044	0.00029578
02:28:20.047	-0.00116346	0.00069636
02:28:20.055	-0.00103138	0.00072717
02:28:20.063	-0.00103138	0.00078880
02:28:20.070	-0.00086629	0.00066555
02:28:20.078	-0.00089931	0.00081962
02:28:20.086	-0.00103138	0.00088124
02:28:20.094	-0.00080026	0.00085043
02:28:20.102	-0.00076724	0.00088124
02:28:20.109	-0.00080026	0.00075799
02:28:20.117	-0.00076724	0.00088124
02:28:20.125	-0.00063517	0.00106613
02:28:20.133	-0.00050309	0.00100450
02:28:20.141	-0.00030498	0.00097369
02:28:20.148	-0.00023894	0.00103532
02:28:20.156	-0.00037102	0.00128183
02:28:20.164	-0.00013988	0.00122020
02:28:20.172	-0.00007384	0.00122020
02:28:20.180	-0.00010686	0.00112776
02:28:20.188	0.00005824	0.00137428
02:28:20.195	-0.00000780	0.00137428
02:28:20.203	0.00032239	0.00134346
02:28:20.211	0.00028937	0.00137428
02:28:20.219	0.00042145	0.00140509
02:28:20.227	0.00035541	0.00158998
02:28:20.234	0.00035541	0.00162080
02:28:20.242	0.00045447	0.00152835
02:28:20.250	0.00061958	0.00134346
02:28:20.258	0.00035541	0.00149754
02:28:20.266	0.00055353	0.00165161
02:28:20.273	0.00085072	0.00140509
02:28:20.281	0.00078468	0.00146672
02:28:20.289	0.00094978	0.00137428
02:28:20.297	0.00052051	0.00140509
02:28:20.305	0.00085072	0.00146672
02:28:20.313	0.00068562	0.00158998
02:28:20.320	0.00071864	0.00143591
02:28:20.328	0.00088374	0.00143591
02:28:20.336	0.00085072	0.00149754
02:28:20.344	0.00094978	0.00146672
02:28:20.352	0.00085072	0.00140509
02:28:20.359	0.00104885	0.00128183
02:28:20.367	0.00081770	0.00134346
02:28:20.375	0.00091676	0.00128183
02:28:20.383	0.00104885	0.00125102
02:28:20.391	0.00114791	0.00125102
02:28:20.398	0.00108187	0.00097369
02:28:20.406	0.00108187	0.00103532
02:28:20.414	0.00098280	0.00103532
02:28:20.422	0.00088374	0.00103532
02:28:20.430	0.00098280	0.00060392
02:28:20.438	0.00101582	0.00075799
02:28:20.445	0.00124697	0.00048066
02:28:20.453	0.00114791	0.00054229
02:28:20.461	0.00101582	0.00041904
02:28:20.469	0.00111489	0.00023416
02:28:20.477	0.00108187	0.00032660
02:28:20.484	0.00124697	0.00017253
02:28:20.492	0.00121395	0.00001846
02:28:20.500	0.00127999	-0.00010479
02:28:20.508	0.00127999	-0.00032048
02:28:20.516	0.00114791	-0.00010479
02:28:20.523	0.00098280	-0.00072103
02:28:20.531	0.00124697	-0.00056697
02:28:20.539	0.00121395	-0.00072103
02:28:20.547	0.00085072	-0.00072103
02:28:20.555	0.00081770	-0.00087509
02:28:20.563	0.00094978	-0.00112159
02:28:20.570	0.00104885	-0.00130646
02:28:20.578	0.00088374	-0.00118321
02:28:20.586	0.00081770	-0.00124483
02:28:20.594	0.00078468	-0.00127564
02:28:20.602	0.00061958	-0.00164538
02:28:20.609	0.00055353	-0.00170700
02:28:20.617	0.00068562	-0.00161456
02:28:20.625	0.00061958	-0.00167619
02:28:20.633	0.00052051	-0.00173781
02:28:20.641	0.00045447	-0.00207672
02:28:20.648	0.00058656	-0.00207672
02:28:20.656	0.00015729	-0.00223077
02:28:20.664	0.00012427	-0.00226158
02:28:20.672	0.00028937	-0.00219996
02:28:20.680	0.00015729	-0.00235401
02:28:20.688	0.00002522	-0.00247725
02:28:20.695	0.00015729	-0.00241563
02:28:20.703	-0.00007384	-0.00256968
02:28:20.711	0.00009125	-0.00253887
02:28:20.719	-0.00007384	-0.00269292
02:28:20.727	-0.00023894	-0.00250806
02:28:20.734	-0.00033800	-0.00263130
02:28:20.742	-0.00033800	-0.00275454
02:28:20.750	-0.00037102	-0.00278535
02:28:20.758	-0.00047007	-0.00275454
02:28:20.766	-0.00047007	-0.00260049
02:28:20.773	-0.00053611	-0.00256968
02:28:20.781	-0.00040403	-0.00284696
02:28:20.789	-0.00056913	-0.00287777
02:28:20.797	-0.00083328	-0.00275454
02:28:20.805	-0.00060215	-0.00272373
02:28:20.813	-0.00083328	-0.00250806
02:28:20.820	-0.00099837	-0.00287777
02:28:20.828	-0.00080026	-0.00269292
02:28:20.836	-0.00096535	-0.00256968
02:28:20.844	-0.00109742	-0.00226158
02:28:20.852	-0.00066818	-0.00275454
02:28:20.859	-0.00103138	-0.00266211
02:28:20.867	-0.00109742	-0.00235401
02:28:20.875	-0.00126251	-0.00247725
02:28:20.883	-0.00113044	-0.00235401
02:28:20.891	-0.00139458	-0.00263130
02:28:20.898	-0.00116346	-0.00226158
02:28:20.906	-0.00126251	-0.00192267
02:28:20.914	-0.00122949	-0.00232320
02:28:20.922	-0.00139458	-0.00210753
02:28:20.930	-0.00129553	-0.00179943
02:28:20.938	-0.00132854	-0.00170700
02:28:20.945	-0.00116346	-0.00142970
02:28:20.953	-0.00152665	-0.00155294
02:28:20.961	-0.00132854	-0.00170700
02:28:20.969	-0.00139458	-0.00149132
02:28:20.977	-0.00146061	-0.00124483
02:28:20.984	-0.00149363	-0.00121402
02:28:20.992	-0.00149363	-0.00102915
02:28:21.000	-0.00122949	-0.00118321
02:28:21.008	-0.00165872	-0.00093672
02:28:21.016	-0.00165872	-0.00069022
02:28:21.023	-0.00149363	-0.00084428
02:28:21.031	-0.00155966	-0.00075185
02:28:21.039	-0.00142760	-0.00053616
02:28:21.047	-0.00146061	-0.00041291
02:28:21.055	-0.00136156	-0.00053616
02:28:21.063	-0.00159268	-0.00050535
02:28:21.070	-0.00146061	-0.00038210
02:28:21.078	-0.00149363	-0.00028966
02:28:21.086	-0.00175777	-0.00010479
02:28:21.094	-0.00152665	-0.00004316
02:28:21.102	-0.00155966	-0.00025885
02:28:21.109	-0.00162570	-0.00022804
02:28:21.117	-0.00169173	0.00008009
02:28:21.125	-0.00169173	-0.00010479
02:28:21.133	-0.00175777	0.00001846
02:28:21.141	-0.00165872	-0.00004316
02:28:21.148	-0.00165872	-0.00004316
02:28:21.156	-0.00162570	0.00038822
02:28:21.164	-0.00179078	0.00014172
02:28:21.172	-0.00169173	-0.00001235
02:28:21.180	-0.00149363	0.00004928
02:28:21.188	-0.00172475	0.00023416
02:28:21.195	-0.00169173	-0.00001235
02:28:21.203	-0.00162570	0.00011090
02:28:21.211	-0.00142760	0.00011090
02:28:21.219	-0.00142760	0.00014172
02:28:21.227	-0.00152665	0.00014172
02:28:21.234	-0.00155966	0.00004928
02:28:21.242	-0.00126251	0.00008009
02:28:21.250	-0.00109742	0.00001846
02:28:21.258	-0.00119647	0.00004928
02:28:21.266	-0.00129553	0.00004928
02:28:21.273	-0.00116346	0.00001846
02:28:21.281	-0.00119647	-0.00019722
02:28:21.289	-0.00103138	-0.00016641
02:28:21.297	-0.00109742	0.00014172
02:28:21.305	-0.00089931	-0.00001235
02:28:21.313	-0.00089931	0.00004928
02:28:21.320	-0.00076724	-0.00016641
02:28:21.328	-0.00106440	0.00008009
02:28:21.336	-0.00080026	0.00004928
02:28:21.344	-0.00066818	0.00008009
02:28:21.352	-0.00056913	0.00001846
02:28:21.359	-0.00033800	0.00004928
02:28:21.367	-0.00050309	-0.00001235
02:28:21.375	-0.00047007	-0.00013560
02:28:21.383	-0.00020592	-0.00001235
02:28:21.391	0.00002522	-0.00004316
02:28:21.398	-0.00020592	0.00014172
02:28:21.406	-0.00013988	-0.00010479
02:28:21.414	-0.00004082	-0.00004316
02:28:21.422	0.00005824	-0.00016641
02:28:21.430	-0.00004082	-0.00041291
02:28:21.438	-0.00007384	-0.00032048
02:28:21.445	0.00015729	-0.00041291
02:28:21.453	0.00009125	-0.00053616
02:28:21.461	0.00022333	-0.00075185
02:28:21.469	0.00038843	-0.00065941
02:28:21.477	0.00035541	-0.00056697
02:28:21.484	0.00009125	-0.00087509
02:28:21.492	0.00028937	-0.00099834
02:28:21.500	0.00048749	-0.00121402
02:28:21.508	0.00019031	-0.00115240
02:28:21.516	0.00028937	-0.00139889
02:28:21.523	0.00025635	-0.00146051
02:28:21.531	0.00019031	-0.00167619
02:28:21.539	-0.00000780	-0.00170700
02:28:21.547	0.00012427	-0.00158375
02:28:21.555	0.00015729	-0.00179943
02:28:21.563	0.00042145	-0.00183024
02:28:21.570	0.00028937	-0.00198429
02:28:21.578	0.00022333	-0.00195348
02:28:21.586	0.00035541	-0.00216915
02:28:21.594	0.00012427	-0.00226158
02:28:21.602	0.00012427	-0.00250806
02:28:21.609	0.00015729	-0.00223077
02:28:21.617	0.00002522	-0.00219996
02:28:21.625	-0.00004082	-0.00216915
02:28:21.633	-0.00000780	-0.00232320
02:28:21.641	0.00012427	-0.00256968
02:28:21.648	-0.00007384	-0.00232320
02:28:21.656	0.00002522	-0.00235401
02:28:21.664	0.00015729	-0.00216915
02:28:21.672	0.00035541	-0.00244644
02:28:21.680	-0.00004082	-0.00232320
02:28:21.688	-0.00013988	-0.00229239
02:28:21.695	0.00012427	-0.00213834
02:28:21.703	0.00009125	-0.00216915
02:28:21.711	0.00012427	-0.00216915
02:28:21.719	-0.00013988	-0.00201510
02:28:21.727	0.00022333	-0.00195348
02:28:21.734	-0.00010686	-0.00195348
