#EDL	Date	21.11.2014	Local Time	 9:58:56	H-200 T-3.00	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
00:47:12.164	-0.00000780	-0.00050535
00:47:12.172	0.00025635	-0.00059779
00:47:12.180	0.00025635	-0.00056697
00:47:12.188	0.00002522	-0.00059779
00:47:12.195	-0.00020592	-0.00041291
00:47:12.203	-0.00017290	-0.00065941
00:47:12.211	0.00009125	-0.00069022
00:47:12.219	0.00019031	-0.00035129
00:47:12.227	-0.00000780	-0.00050535
00:47:12.234	0.00002522	-0.00056697
00:47:12.242	0.00009125	-0.00069022
00:47:12.250	0.00012427	-0.00078266
00:47:12.258	-0.00004082	-0.00069022
00:47:12.266	-0.00007384	-0.00062860
00:47:12.273	-0.00004082	-0.00069022
00:47:12.281	0.00005824	-0.00087509
00:47:12.289	-0.00007384	-0.00087509
00:47:12.297	-0.00004082	-0.00065941
00:47:12.305	-0.00004082	-0.00081347
00:47:12.313	-0.00010686	-0.00102915
00:47:12.320	-0.00020592	-0.00105996
00:47:12.328	-0.00020592	-0.00102915
00:47:12.336	-0.00043705	-0.00069022
00:47:12.344	-0.00030498	-0.00102915
00:47:12.352	-0.00023894	-0.00096753
00:47:12.359	-0.00047007	-0.00105996
00:47:12.367	-0.00066818	-0.00090591
00:47:12.375	-0.00033800	-0.00105996
00:47:12.383	-0.00050309	-0.00102915
00:47:12.391	-0.00060215	-0.00112159
00:47:12.398	-0.00053611	-0.00115240
00:47:12.406	-0.00086629	-0.00090591
00:47:12.414	-0.00080026	-0.00115240
00:47:12.422	-0.00089931	-0.00102915
00:47:12.430	-0.00083328	-0.00127564
00:47:12.438	-0.00083328	-0.00105996
00:47:12.445	-0.00119647	-0.00093672
00:47:12.453	-0.00113044	-0.00105996
00:47:12.461	-0.00113044	-0.00096753
00:47:12.469	-0.00119647	-0.00115240
00:47:12.477	-0.00126251	-0.00093672
00:47:12.484	-0.00126251	-0.00090591
00:47:12.492	-0.00126251	-0.00112159
00:47:12.500	-0.00129553	-0.00115240
00:47:12.508	-0.00139458	-0.00087509
00:47:12.516	-0.00165872	-0.00078266
00:47:12.523	-0.00142760	-0.00096753
00:47:12.531	-0.00132854	-0.00081347
00:47:12.539	-0.00149363	-0.00118321
00:47:12.547	-0.00169173	-0.00056697
00:47:12.555	-0.00162570	-0.00090591
00:47:12.563	-0.00152665	-0.00081347
00:47:12.570	-0.00155966	-0.00084428
00:47:12.578	-0.00152665	-0.00093672
00:47:12.586	-0.00172475	-0.00059779
00:47:12.594	-0.00152665	-0.00059779
00:47:12.602	-0.00169173	-0.00087509
00:47:12.609	-0.00146061	-0.00059779
00:47:12.617	-0.00152665	-0.00072103
00:47:12.625	-0.00146061	-0.00059779
00:47:12.633	-0.00136156	-0.00059779
00:47:12.641	-0.00122949	-0.00072103
00:47:12.648	-0.00126251	-0.00072103
00:47:12.656	-0.00119647	-0.00032048
00:47:12.664	-0.00129553	-0.00059779
00:47:12.672	-0.00132854	-0.00072103
00:47:12.680	-0.00103138	-0.00056697
00:47:12.688	-0.00109742	-0.00056697
00:47:12.695	-0.00083328	-0.00035129
00:47:12.703	-0.00080026	-0.00056697
00:47:12.711	-0.00086629	-0.00069022
00:47:12.719	-0.00053611	-0.00072103
00:47:12.727	-0.00076724	-0.00062860
00:47:12.734	-0.00066818	-0.00072103
00:47:12.742	-0.00047007	-0.00056697
00:47:12.750	-0.00030498	-0.00081347
00:47:12.758	-0.00043705	-0.00078266
00:47:12.766	-0.00030498	-0.00050535
00:47:12.773	-0.00007384	-0.00072103
00:47:12.781	-0.00000780	-0.00059779
00:47:12.789	-0.00004082	-0.00065941
00:47:12.797	-0.00007384	-0.00072103
00:47:12.805	0.00019031	-0.00069022
00:47:12.813	0.00025635	-0.00056697
00:47:12.820	0.00042145	-0.00093672
00:47:12.828	0.00012427	-0.00069022
00:47:12.836	0.00015729	-0.00065941
00:47:12.844	0.00022333	-0.00084428
00:47:12.852	0.00058656	-0.00072103
00:47:12.859	0.00058656	-0.00093672
00:47:12.867	0.00042145	-0.00084428
00:47:12.875	0.00052051	-0.00069022
00:47:12.883	0.00078468	-0.00087509
00:47:12.891	0.00081770	-0.00081347
00:47:12.898	0.00091676	-0.00102915
00:47:12.906	0.00065260	-0.00096753
00:47:12.914	0.00081770	-0.00087509
00:47:12.922	0.00098280	-0.00075185
00:47:12.930	0.00108187	-0.00090591
00:47:12.938	0.00098280	-0.00096753
00:47:12.945	0.00101582	-0.00087509
00:47:12.953	0.00098280	-0.00084428
00:47:12.961	0.00121395	-0.00105996
00:47:12.969	0.00091676	-0.00105996
00:47:12.977	0.00101582	-0.00081347
00:47:12.984	0.00094978	-0.00102915
00:47:12.992	0.00127999	-0.00112159
00:47:13.000	0.00104885	-0.00112159
00:47:13.008	0.00114791	-0.00109078
00:47:13.016	0.00094978	-0.00087509
00:47:13.023	0.00101582	-0.00096753
00:47:13.031	0.00124697	-0.00102915
00:47:13.039	0.00101582	-0.00102915
00:47:13.047	0.00075166	-0.00112159
00:47:13.055	0.00085072	-0.00102915
00:47:13.063	0.00075166	-0.00121402
00:47:13.070	0.00078468	-0.00127564
00:47:13.078	0.00081770	-0.00118321
00:47:13.086	0.00058656	-0.00112159
00:47:13.094	0.00045447	-0.00118321
00:47:13.102	0.00058656	-0.00118321
00:47:13.109	0.00045447	-0.00142970
00:47:13.117	0.00019031	-0.00130646
00:47:13.125	0.00038843	-0.00127564
00:47:13.133	0.00025635	-0.00127564
00:47:13.141	0.00022333	-0.00164538
00:47:13.148	0.00028937	-0.00155294
00:47:13.156	-0.00030498	-0.00146051
00:47:13.164	-0.00007384	-0.00142970
00:47:13.172	0.00009125	-0.00167619
00:47:13.180	-0.00033800	-0.00173781
00:47:13.188	-0.00043705	-0.00173781
00:47:13.195	-0.00027196	-0.00170700
00:47:13.203	-0.00027196	-0.00189186
00:47:13.211	-0.00040403	-0.00198429
00:47:13.219	-0.00070120	-0.00207672
00:47:13.227	-0.00073422	-0.00204591
00:47:13.234	-0.00080026	-0.00207672
00:47:13.242	-0.00089931	-0.00216915
00:47:13.250	-0.00096535	-0.00223077
