time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
0.34375,7.0326e-05,0.0001175,0.00013,3.347e-05,3.1343e-05,3.0501e-05,7.3298e-05,0.000138,5.2892e-06
0.35156,7.07e-05,9.5507e-05,0.00013,3.332e-05,3.1417e-05,3.0253e-05,7.3807e-05,0.000138,-4.9783e-06
0.35938,6.9307e-05,0.00010375,0.00013075,3.3411e-05,3.1299e-05,3.0667e-05,7.2452e-05,0.000138,-1.1406e-05
0.36719,7.0197e-05,0.000106,0.00013062,3.4147e-05,3.1158e-05,3.029e-05,7.3794e-05,0.00013862,7.2946e-07
0.375,7.023e-05,9.4755e-05,0.00013,3.3363e-05,3.1651e-05,3.0618e-05,7.341e-05,0.000138,4.4751e-06
0.38281,6.9552e-05,0.00011962,0.00013,3.3554e-05,3.1021e-05,3.0781e-05,7.4225e-05,0.00013775,6.2143e-06
0.39063,6.961e-05,0.00010295,0.0001315,3.2659e-05,3.0155e-05,2.9917e-05,7.311e-05,0.000138,-4.1485e-05
0.39844,6.942e-05,0.00010487,0.00013025,3.4005e-05,3.1361e-05,3.0574e-05,7.3247e-05,0.000139,-1.556e-05
0.40625,6.977e-05,0.0001075,0.0001295,3.3985e-05,3.2085e-05,3.0866e-05,7.3319e-05,0.0001375,3.2152e-06
0.41406,6.948e-05,8.7683e-05,0.00013088,3.3398e-05,3.1811e-05,3.0359e-05,7.3264e-05,0.00013712,5.3126e-06
0.42188,6.9796e-05,0.00011625,0.00013,3.3156e-05,3.2127e-05,3.0347e-05,7.3413e-05,0.00013875,9.9312e-06
0.42969,6.999e-05,0.00010413,0.000131,3.3581e-05,3.178e-05,2.9791e-05,7.3414e-05,0.000137,5.5303e-06
0.4375,6.8916e-05,0.000103,0.00013,3.3097e-05,3.0788e-05,3.0409e-05,7.3681e-05,0.000139,-9.0389e-06
0.44531,6.9567e-05,0.00010913,0.000131,3.371e-05,3.1317e-05,3.0923e-05,7.4499e-05,0.00013862,3.3681e-06
0.45313,6.8462e-05,8.676e-05,0.00013125,3.3039e-05,3.1479e-05,3.0687e-05,7.4644e-05,0.00013875,6.2784e-06
0.46094,6.8809e-05,0.0001115,0.000132,3.3723e-05,3.1607e-05,3.0956e-05,7.3787e-05,0.00013887,1.2837e-05
0.46875,6.8405e-05,0.0001055,0.000131,3.3213e-05,3.1939e-05,3.047e-05,7.3474e-05,0.0001385,6.4634e-07
0.47656,6.9327e-05,0.00010112,0.00013188,3.3022e-05,3.1802e-05,3.0809e-05,7.4275e-05,0.000138,5.5236e-06
0.48438,6.9123e-05,0.00011475,0.000132,3.3552e-05,3.2087e-05,3.0732e-05,7.3982e-05,0.00013825,3.3867e-06
