#EDL	Date	21.11.2014	Local Time	10:23:44	H-200 T-4.74	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
01:11:59.523	0.00124697	-0.00105996
01:11:59.531	0.00114791	-0.00096753
01:11:59.539	0.00088374	-0.00109078
01:11:59.547	0.00114791	-0.00121402
01:11:59.555	0.00111489	-0.00124483
01:11:59.563	0.00091676	-0.00115240
01:11:59.570	0.00104885	-0.00099834
01:11:59.578	0.00091676	-0.00109078
01:11:59.586	0.00085072	-0.00130646
01:11:59.594	0.00055353	-0.00102915
01:11:59.602	0.00075166	-0.00102915
01:11:59.609	0.00055353	-0.00105996
01:11:59.617	0.00061958	-0.00078266
01:11:59.625	0.00065260	-0.00084428
01:11:59.633	0.00025635	-0.00093672
01:11:59.641	0.00045447	-0.00096753
01:11:59.648	0.00022333	-0.00081347
01:11:59.656	0.00022333	-0.00075185
01:11:59.664	0.00005824	-0.00065941
01:11:59.672	-0.00004082	-0.00056697
01:11:59.680	-0.00010686	-0.00069022
01:11:59.688	-0.00050309	-0.00062860
01:11:59.695	-0.00030498	-0.00038210
01:11:59.703	-0.00050309	-0.00025885
01:11:59.711	-0.00047007	-0.00028966
01:11:59.719	-0.00053611	-0.00025885
01:11:59.727	-0.00040403	-0.00022804
01:11:59.734	-0.00070120	-0.00010479
01:11:59.742	-0.00073422	0.00017253
01:11:59.750	-0.00070120	0.00017253
01:11:59.758	-0.00080026	0.00008009
01:11:59.766	-0.00080026	0.00014172
01:11:59.773	-0.00096535	0.00032660
01:11:59.781	-0.00096535	0.00041904
01:11:59.789	-0.00086629	0.00038822
01:11:59.797	-0.00093233	0.00048066
01:11:59.805	-0.00066818	0.00060392
01:11:59.813	-0.00083328	0.00060392
01:11:59.820	-0.00086629	0.00063473
01:11:59.828	-0.00096535	0.00072717
01:11:59.836	-0.00073422	0.00044985
01:11:59.844	-0.00086629	0.00048066
01:11:59.852	-0.00086629	0.00075799
01:11:59.859	-0.00083328	0.00069636
01:11:59.867	-0.00076724	0.00069636
01:11:59.875	-0.00060215	0.00063473
01:11:59.883	-0.00093233	0.00066555
01:11:59.891	-0.00063517	0.00060392
01:11:59.898	-0.00056913	0.00081962
01:11:59.906	-0.00063517	0.00048066
01:11:59.914	-0.00060215	0.00063473
01:11:59.922	-0.00056913	0.00072717
01:11:59.930	-0.00043705	0.00048066
01:11:59.938	-0.00043705	0.00054229
01:11:59.945	-0.00040403	0.00035741
01:11:59.953	-0.00050309	0.00032660
01:11:59.961	-0.00040403	0.00038822
