time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
0.34375,7.1021e-05,9.4941e-05,0.0001315,3.3692e-05,3.1776e-05,3.0714e-05,7.3444e-05,0.000137,3.9622e-06
0.35156,7.0871e-05,0.00012188,0.00013188,3.3811e-05,3.234e-05,3.058e-05,7.4026e-05,0.000136,-1.3485e-06
0.35938,7.1056e-05,0.00010225,0.00013175,3.378e-05,3.1596e-05,3.0545e-05,7.3871e-05,0.000137,-9.3781e-06
0.36719,7.0663e-05,0.00010562,0.00013262,3.3269e-05,3.1046e-05,3.1145e-05,7.3813e-05,0.000137,-2.8517e-05
0.375,7.0641e-05,0.000108,0.000133,3.401e-05,3.1893e-05,3.0379e-05,7.3168e-05,0.000136,1.851e-06
0.38281,7.1179e-05,8.8486e-05,0.000131,3.348e-05,3.1219e-05,2.9898e-05,7.3351e-05,0.00013637,2.6081e-06
0.39063,7.0078e-05,0.00012,0.000133,3.3955e-05,3.1104e-05,3.0741e-05,7.4075e-05,0.0001365,-2.3531e-05
0.39844,7.0856e-05,0.000106,0.00013213,3.3854e-05,3.2782e-05,3.0835e-05,7.3777e-05,0.00013687,4.7513e-06
0.40625,7.0904e-05,0.0001035,0.0001325,3.3372e-05,3.1918e-05,3.1181e-05,7.2892e-05,0.0001365,6.6847e-06
0.41406,7.0891e-05,0.00011175,0.000132,3.3385e-05,3.1504e-05,3.0514e-05,7.2941e-05,0.000137,3.5645e-06
0.42188,7.0831e-05,8.6212e-05,0.000131,3.2967e-05,3.1602e-05,3.0776e-05,7.2818e-05,0.000136,7.99e-06
0.42969,6.9946e-05,0.0001145,0.000133,3.3504e-05,3.1158e-05,3.07e-05,7.3636e-05,0.00013562,-1.9971e-05
0.4375,7.2081e-05,0.000105,0.000131,3.5057e-05,3.1193e-05,3.0072e-05,7.3756e-05,0.000135,3.8421e-05
0.44531,7.0239e-05,0.00010062,0.00013262,3.3644e-05,3.1427e-05,3.0568e-05,7.4134e-05,0.00013662,1.0679e-06
0.45313,7.1056e-05,0.000117,0.00013225,3.363e-05,3.1788e-05,3.1236e-05,7.3955e-05,0.00013675,-4.6234e-06
